YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ALFA ROMEO,914,866,900,858,886,924,925,923,880,853,805,739,608
ALPINA,0,0,0,0,0,0,0,0,0,10,19,31,54
ASTON MARTIN,23,34,54,77,100,134,158,179,196,195,192,184,196
AUDI,2025,2386,3115,4223,5590,7645,9641,11227,12882,14204,15874,17535,19007
AUSTIN,137,155,155,154,154,152,148,147,147,148,149,148,148
B.M.W.,15351,16527,18321,20434,22871,26411,30496,34817,37691,39518,40521,41631,43535
BENTLEY,68,103,138,179,219,268,324,412,524,578,625,652,694
CADILLAC,7,5,5,0,0,0,0,0,0,0,0,0,0
CHANA,0,0,0,39,66,66,66,66,65,65,64,60,46
CHERY,0,269,906,1466,1687,1759,1758,1724,1660,1615,1553,1229,813
CHEVROLET,3699,6251,8161,8951,9973,10653,11202,11516,11581,11337,10391,8677,7197
CHRYSLER,422,576,670,698,696,661,657,631,588,556,477,337,220
CITROEN,696,514,615,730,948,1275,1582,1914,2064,2314,2962,3672,4068
DAEWOO,817,487,286,175,115,77,47,31,0,0,0,0,0
DAIHATSU,2065,1769,2044,2538,2577,2557,2484,2475,2441,2402,2268,1954,1464
DAIMLER,30,24,22,22,21,20,20,20,20,20,21,22,20
DATSUN,129,21,17,16,13,13,10,10,10,8,7,7,9
DODGE,0,6,39,46,45,51,51,50,50,50,50,39,11
DONGFENG,0,0,33,64,97,103,103,101,100,97,96,88,60
FERRARI,166,178,221,264,294,360,449,523,582,599,621,619,625
FIAT,382,770,1404,1775,2032,2246,2354,2339,2302,2253,2074,1644,1084
FORD,7243,6036,4878,4045,3788,3762,3716,3831,3802,3719,3348,3056,3089
FOTON,0,0,0,0,0,0,5,14,14,14,10,8,6
GEELY,0,19,523,697,763,770,757,742,723,698,668,528,177
GOLDEN DRAGON,0,0,0,5,6,6,6,6,6,6,6,0,0
HAFEI,0,0,168,297,326,333,330,323,317,308,301,261,127
HOLDEN,6,5,7,7,7,7,7,6,5,6,0,0,0
HONDA,47816,53792,67830,85768,90861,91494,89969,89193,87747,85636,85669,93680,94942
HUMMER,0,0,0,0,17,23,23,23,23,23,23,23,23
HYUNDAI,41650,45393,44798,41708,43907,44031,44177,43953,42643,39626,33859,28416,27711
INFINITI,0,0,0,0,0,0,7,79,112,202,424,748,1038
ISUZU,20,19,18,17,14,9,9,9,7,0,0,0,0
JAGUAR,1952,1862,1826,1851,1888,2062,2355,2629,2977,3095,3285,3623,3901
JEEP,41,63,86,108,117,132,146,168,180,195,218,211,231
KIA,12079,15558,16591,16927,19899,22285,22987,23247,23080,22749,20614,18997,20683
LAMBORGHINI,53,80,110,156,201,250,291,329,334,315,297,267,272
LANCIA,6,6,6,0,5,5,5,6,6,6,6,6,8
LAND ROVER,280,257,249,259,305,392,615,975,1330,1610,1931,2280,2717
LOTUS,64,70,75,94,101,115,126,130,129,127,123,116,115
M.G.,108,130,127,125,121,121,120,119,119,119,120,125,124
MASERATI,78,105,143,227,300,382,469,541,584,609,662,697,778
MAYBACH,0,0,0,0,0,0,5,5,0,0,0,0,0
MAZDA,19998,21161,22495,22647,22334,22527,21990,21715,21542,21949,24028,27210,31969
MCLAREN,0,0,0,0,0,0,0,33,58,68,70,75,82
MERCEDES BENZ,27230,25150,24999,25896,27621,30467,33057,36131,38554,41525,44800,48469,53136
MG-F,9,9,9,9,8,8,8,8,7,6,5,0,0
MINI,547,744,984,1227,1384,1656,2010,2272,2400,2502,2672,2882,3088
MITSUBISHI,29416,31264,34542,36805,36846,36412,35558,34957,34117,32440,29549,26775,23986
MITSUOKA,0,0,26,31,30,38,39,39,39,41,44,40,37
MORGAN,6,6,6,7,8,8,8,10,10,12,11,11,11
MORRIS,93,99,99,100,101,98,96,95,95,93,94,94,94
NAZA,0,0,0,27,28,31,31,31,31,31,31,30,22
NISSAN,65368,64904,64507,61701,59590,58442,56380,55651,54360,52273,47161,42613,40045
OPEL,2319,2142,2082,1965,1830,1794,1768,1774,1791,1736,1496,1365,2022
PANTHER,7,7,7,7,7,7,7,7,7,7,7,7,7
PERODUA,1060,1446,1905,2193,2408,2535,2529,2513,2484,2387,2021,1633,1275
PEUGEOT,2033,2202,2387,2476,2645,2739,3117,3576,3769,3824,3994,4078,4210
PORSCHE,763,912,1242,1554,1822,2250,2784,3243,3539,3857,4368,4832,5339
PROTON,4612,4630,4642,4486,4462,4467,4281,4219,4070,3733,3033,2018,1416
